Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
1511,325,108,4,4.5,4,9.06,1,0.79
1512,328,110,4,5,4,9.14,1,0.82
1513,338,120,4,5,5,9.66,1,0.95
1514,333,119,5,5,4.5,9.78,1,0.96
1515,331,117,4,4.5,5,9.42,1,0.94
1516,330,116,5,5,4.5,9.36,1,0.93
1517,322,112,4,4.5,4.5,9.26,1,0.91
1518,321,109,4,4,4,9.13,1,0.85
1519,324,110,4,3,3.5,8.97,1,0.84
1520,312,104,3,3.5,3.5,8.42,0,0.74
1521,313,103,3,4,4,8.75,0,0.76
1522,316,110,3,3.5,4,8.56,0,0.75
1523,324,113,4,4.5,4,8.79,0,0.76
1524,308,109,2,3,4,8.45,0,0.71
1525,305,105,2,3,2,8.23,0,0.67
1526,296,99,2,2.5,2.5,8.03,0,0.61
1527,306,110,2,3.5,4,8.45,0,0.63
1528,312,110,2,3.5,3,8.53,0,0.64
1529,318,112,3,4,3.5,8.67,0,0.71
1530,324,111,4,3,3,9.01,1,0.82
1531,313,104,3,4,4.5,8.65,0,0.73
1532,319,106,3,3.5,2.5,8.33,1,0.74
1533,312,107,2,2.5,3.5,8.27,0,0.69
1534,304,100,2,2.5,3.5,8.07,0,0.64
1535,330,113,5,5,4,9.31,1,0.91
1536,326,111,5,4.5,4,9.23,1,0.88
1537,325,112,4,4,4.5,9.17,1,0.85
1538,329,114,5,4.5,5,9.19,1,0.86
1539,310,104,3,2,3.5,8.37,0,0.7
1540,299,100,1,1.5,2,7.89,0,0.59
1541,296,101,1,2.5,3,7.68,0,0.6
1542,317,103,2,2.5,2,8.15,0,0.65
1543,324,115,3,3.5,3,8.76,1,0.7
1544,325,114,3,3.5,3,9.04,1,0.76
1545,314,107,2,2.5,4,8.56,0,0.63
1546,328,110,4,4,2.5,9.02,1,0.81
1547,316,105,3,3,3.5,8.73,0,0.72
1548,311,104,2,2.5,3.5,8.48,0,0.71
1549,324,110,3,3.5,4,8.87,1,0.8
1550,321,111,3,3.5,4,8.83,1,0.77
1551,320,104,3,3,2.5,8.57,1,0.74
1552,316,99,2,2.5,3,9,0,0.7
1553,318,100,2,2.5,3.5,8.54,1,0.71
1554,335,115,4,4.5,4.5,9.68,1,0.93
1555,321,114,4,4,5,9.12,0,0.85
1556,307,110,4,4,4.5,8.37,0,0.79
1557,309,99,3,4,4,8.56,0,0.76
1558,324,100,3,4,5,8.64,1,0.78
1559,326,102,4,5,5,8.76,1,0.77
1560,331,119,4,5,4.5,9.34,1,0.9
1561,327,108,5,5,3.5,9.13,1,0.87
1562,312,104,3,3.5,4,8.09,0,0.71
1563,308,103,2,2.5,4,8.36,1,0.7
1564,324,111,3,2.5,1.5,8.79,1,0.7
1565,325,110,2,3,2.5,8.76,1,0.75
1566,313,102,3,2.5,2.5,8.68,0,0.71
1567,312,105,2,2,2.5,8.45,0,0.72
1568,314,107,3,3,3.5,8.17,1,0.73
1569,327,113,4,4.5,5,9.14,0,0.83
1570,308,108,4,4.5,5,8.34,0,0.77
1571,306,105,2,2.5,3,8.22,1,0.72
1572,299,96,2,1.5,2,7.86,0,0.54
1573,294,95,1,1.5,1.5,7.64,0,0.49
1574,312,99,1,1,1.5,8.01,1,0.52
1575,315,100,1,2,2.5,7.95,0,0.58
1576,322,110,3,3.5,3,8.96,1,0.78
1577,329,113,5,5,4.5,9.45,1,0.89
1578,320,101,2,2.5,3,8.62,0,0.7
1579,308,103,2,3,3.5,8.49,0,0.66
1580,304,102,2,3,4,8.73,0,0.67
1581,311,102,3,4.5,4,8.64,1,0.68
1582,317,110,3,4,4.5,9.11,1,0.8
1583,312,106,3,4,3.5,8.79,1,0.81
1584,321,111,3,2.5,3,8.9,1,0.8
1585,340,112,4,5,4.5,9.66,1,0.94
1586,331,116,5,4,4,9.26,1,0.93
1587,336,118,5,4.5,4,9.19,1,0.92
1588,324,114,5,5,4.5,9.08,1,0.89
1589,314,104,4,5,5,9.02,0,0.82
1590,313,109,3,4,3.5,9,0,0.79
1591,307,105,2,2.5,3,7.65,0,0.58
1592,300,102,2,1.5,2,7.87,0,0.56
1593,302,99,2,1,2,7.97,0,0.56
1594,312,98,1,3.5,3,8.18,1,0.64
1595,316,101,2,2.5,2,8.32,1,0.61
1596,317,100,2,3,2.5,8.57,0,0.68
1597,310,107,3,3.5,3.5,8.67,0,0.76
1598,320,120,3,4,4.5,9.11,0,0.86
1599,330,114,3,4.5,4.5,9.24,1,0.9
1600,305,112,3,3,3.5,8.65,0,0.71
1601,309,106,2,2.5,2.5,8,0,0.62
1602,319,108,2,2.5,3,8.76,0,0.66
1603,322,105,2,3,3,8.45,1,0.65
1604,323,107,3,3.5,3.5,8.55,1,0.73
1605,313,106,2,2.5,2,8.43,0,0.62
1606,321,109,3,3.5,3.5,8.8,1,0.74
1607,323,110,3,4,3.5,9.1,1,0.79
1608,325,112,4,4,4,9,1,0.8
1609,312,108,3,3.5,3,8.53,0,0.69
1610,308,110,4,3.5,3,8.6,0,0.7
1611,320,104,3,3,3.5,8.74,1,0.76
1612,328,108,4,4.5,4,9.18,1,0.84
1613,311,107,4,4.5,4.5,9,1,0.78
1614,301,100,3,3.5,3,8.04,0,0.67
1615,305,105,2,3,4,8.13,0,0.66
1616,308,104,2,2.5,3,8.07,0,0.65
1617,298,101,2,1.5,2,7.86,0,0.54
1618,300,99,1,1,2.5,8.01,0,0.58
1619,324,111,3,2.5,2,8.8,1,0.79
1620,327,113,4,3.5,3,8.69,1,0.8
1621,317,106,3,4,3.5,8.5,1,0.75
1622,323,104,3,4,4,8.44,1,0.73
1623,314,107,2,2.5,4,8.27,0,0.72
1624,305,102,2,2,2.5,8.18,0,0.62
1625,315,104,3,3,2.5,8.33,0,0.67
1626,326,116,3,3.5,4,9.14,1,0.81
1627,299,100,3,2,2,8.02,0,0.63
1628,295,101,2,2.5,2,7.86,0,0.69
1629,324,112,4,4,3.5,8.77,1,0.8
1630,297,96,2,2.5,1.5,7.89,0,0.43
1631,327,113,3,3.5,3,8.66,1,0.8
1632,311,105,2,3,2,8.12,1,0.73
1633,308,106,3,3.5,2.5,8.21,1,0.75
1634,319,108,3,3,3.5,8.54,1,0.71
1635,312,107,4,4.5,4,8.65,1,0.73
1636,325,111,4,4,4.5,9.11,1,0.83
1637,319,110,3,3,2.5,8.79,0,0.72
1638,332,118,5,5,5,9.47,1,0.94
1639,323,108,5,4,4,8.74,1,0.81
1640,324,107,5,3.5,4,8.66,1,0.81
1641,312,107,3,3,3,8.46,1,0.75
1642,326,110,3,3.5,3.5,8.76,1,0.79
1643,308,106,3,3,3,8.24,0,0.58
1644,305,103,2,2.5,3.5,8.13,0,0.59
1645,295,96,2,1.5,2,7.34,0,0.47
1646,316,98,1,1.5,2,7.43,0,0.49
1647,304,97,2,1.5,2,7.64,0,0.47
1648,299,94,1,1,1,7.34,0,0.42
1649,302,99,1,2,2,7.25,0,0.57
1650,313,101,3,2.5,3,8.04,0,0.62
1651,318,107,3,3,3.5,8.27,1,0.74
1652,325,110,4,3.5,4,8.67,1,0.73
1653,303,100,2,3,3.5,8.06,1,0.64
1654,300,102,3,3.5,2.5,8.17,0,0.63
1655,297,98,2,2.5,3,7.67,0,0.59
1656,317,106,2,2,3.5,8.12,0,0.73
1657,327,109,3,3.5,4,8.77,1,0.79
1658,301,104,2,3.5,3.5,7.89,1,0.68
1659,314,105,2,2.5,2,7.64,0,0.7
1660,321,107,2,2,1.5,8.44,0,0.81
1661,322,110,3,4,5,8.64,1,0.85
1662,334,116,4,4,3.5,9.54,1,0.93
1663,338,115,5,4.5,5,9.23,1,0.91
1664,306,103,2,2.5,3,8.36,0,0.69
1665,313,102,3,3.5,4,8.9,1,0.77
1666,330,114,4,4.5,3,9.17,1,0.86
1667,320,104,3,3.5,4.5,8.34,1,0.74
1668,311,98,1,1,2.5,7.46,0,0.57
1669,298,92,1,2,2,7.88,0,0.51
1670,301,98,1,2,3,8.03,1,0.67
1671,310,103,2,2.5,2.5,8.24,0,0.72
1672,324,110,3,3.5,3,9.22,1,0.89
1673,336,119,4,4.5,4,9.62,1,0.95
1674,321,109,3,3,3,8.54,1,0.79
1675,315,105,2,2,2.5,7.65,0,0.39
1676,304,101,2,2,2.5,7.66,0,0.38
1677,297,96,2,2.5,2,7.43,0,0.34
1678,290,100,1,1.5,2,7.56,0,0.47
1679,303,98,1,2,2.5,7.65,0,0.56
1680,311,99,1,2.5,3,8.43,1,0.71
1681,322,104,3,3.5,4,8.84,1,0.78
1682,319,105,3,3,3.5,8.67,1,0.73
1683,324,110,4,4.5,4,9.15,1,0.82
1684,300,100,3,3,3.5,8.26,0,0.62
1685,340,113,4,5,5,9.74,1,0.96
1686,335,117,5,5,5,9.82,1,0.96
1687,302,101,2,2.5,3.5,7.96,0,0.46
1688,307,105,2,2,3.5,8.1,0,0.53
1689,296,97,2,1.5,2,7.8,0,0.49
1690,320,108,3,3.5,4,8.44,1,0.76
1691,314,102,2,2,2.5,8.24,0,0.64
1692,318,106,3,2,3,8.65,0,0.71
1693,326,112,4,4,3.5,9.12,1,0.84
1694,317,104,2,3,3,8.76,0,0.77
1695,329,111,4,4.5,4,9.23,1,0.89
1696,324,110,3,3.5,3.5,9.04,1,0.82
1697,325,107,3,3,3.5,9.11,1,0.84
1698,330,116,4,5,4.5,9.45,1,0.91
1699,312,103,3,3.5,4,8.78,0,0.67
1700,333,117,4,5,4,9.66,1,0.95
1701,304,100,2,3.5,3,8.22,0,0.63
1702,315,105,2,3,3,8.34,0,0.66
1703,324,109,3,3.5,3,8.94,1,0.78
1704,330,116,4,4,3.5,9.23,1,0.91
1705,311,101,3,2,2.5,7.64,1,0.62
1706,302,99,3,2.5,3,7.45,0,0.52
1707,322,103,4,3,2.5,8.02,1,0.61
1708,298,100,3,2.5,4,7.95,1,0.58
1709,297,101,3,2,4,7.67,1,0.57
1710,300,98,1,2,2.5,8.02,0,0.61
1711,301,96,1,3,4,7.56,0,0.54
1712,313,94,2,2.5,1.5,8.13,0,0.56
1713,314,102,4,2.5,2,7.88,1,0.59
1714,317,101,3,3,2,7.94,1,0.49
1715,321,110,4,3.5,4,8.35,1,0.72
1716,327,106,4,4,4.5,8.75,1,0.76
1717,315,104,3,4,2.5,8.1,0,0.65
1718,316,103,3,3.5,2,7.68,0,0.52
1719,309,111,2,2.5,4,8.03,0,0.6
1720,308,102,2,2,3.5,7.98,1,0.58
1721,299,100,3,2,3,7.42,0,0.42
1722,321,112,3,3,4.5,8.95,1,0.77
1723,322,112,4,3.5,2.5,9.02,1,0.73
1724,334,119,5,4.5,5,9.54,1,0.94
1725,325,114,5,4,5,9.46,1,0.91
1726,323,111,5,4,5,9.86,1,0.92
1727,312,106,3,3,5,8.57,0,0.71
1728,310,101,3,3.5,5,8.65,1,0.71
1729,316,103,2,2,4.5,8.74,0,0.69
1730,340,115,5,5,4.5,9.06,1,0.95
1731,311,104,3,4,3.5,8.13,1,0.74
1732,320,112,2,3.5,3.5,8.78,1,0.73
1733,324,112,4,4.5,4,9.22,1,0.86
1734,316,111,4,4,5,8.54,0,0.71
1735,306,103,3,3.5,3,8.21,0,0.64
1736,309,105,2,2.5,4,7.68,0,0.55
1737,310,110,1,1.5,4,7.23,1,0.58
1738,317,106,1,1.5,3.5,7.65,1,0.61
1739,318,110,1,2.5,3.5,8.54,1,0.67
1740,312,105,2,1.5,3,8.46,0,0.66
1741,305,104,2,2.5,1.5,7.79,0,0.53
1742,332,112,1,1.5,3,8.66,1,0.79
1743,331,116,4,4.5,4.5,9.44,1,0.92
1744,321,114,5,4.5,4.5,9.16,1,0.87
1745,324,113,5,4,5,9.25,1,0.92
1746,328,116,5,4.5,5,9.08,1,0.91
1747,327,118,4,5,5,9.67,1,0.93
1748,320,108,3,3.5,5,8.97,1,0.84
1749,312,109,2,2.5,4,9.02,0,0.8
1750,315,101,3,3.5,4.5,9.13,0,0.79
1751,320,112,4,3,4.5,8.86,1,0.82
1752,324,113,4,4.5,4.5,9.25,1,0.89
1753,328,116,4,5,3.5,9.6,1,0.93
1754,319,103,3,2.5,4,8.76,1,0.73
1755,310,105,2,3,3.5,8.01,0,0.71
1756,305,102,2,1.5,2.5,7.64,0,0.59
1757,299,100,2,2,2,7.88,0,0.51
1758,295,99,1,2,1.5,7.57,0,0.37
1759,312,100,1,3,3,8.53,1,0.69
1760,329,113,4,4,3.5,9.36,1,0.89
1761,319,105,4,4,4.5,8.66,1,0.77
1762,301,102,3,2.5,2,8.13,1,0.68
1763,307,105,4,3,3,7.94,0,0.62
1764,304,107,3,3.5,3,7.86,0,0.57
1765,298,97,2,2,3,7.21,0,0.45
1766,305,96,4,3,4.5,8.26,0,0.54
1767,314,99,4,3.5,4.5,8.73,1,0.71
1768,318,101,5,3.5,5,8.78,1,0.78
1769,323,110,4,4,5,8.88,1,0.81
1770,326,114,4,4,3.5,9.16,1,0.86
1771,320,110,5,4,4,9.27,1,0.87
1772,311,103,3,2,4,8.09,0,0.64
1773,327,116,4,4,4.5,9.48,1,0.9
1774,316,102,2,4,3.5,8.15,0,0.67
1775,308,105,4,3,2.5,7.95,1,0.67
1776,300,101,3,3.5,2.5,7.88,0,0.59
1777,304,104,3,2.5,2,8.12,0,0.62
1778,309,105,4,3.5,2,8.18,0,0.65
1779,318,103,3,4,4.5,8.49,1,0.71
1780,325,110,4,4.5,4,8.96,1,0.79
1781,321,102,3,3.5,4,9.01,1,0.8
1782,323,107,4,3,2.5,8.48,1,0.78
1783,328,113,4,4,2.5,8.77,1,0.83
1784,304,103,5,5,3,7.92,0,0.71
1785,317,106,3,3.5,3,7.89,1,0.73
1786,311,101,2,2.5,3.5,8.34,1,0.7
1787,319,102,3,2.5,2.5,8.37,0,0.68
1788,327,115,4,3.5,4,9.14,0,0.79
1789,322,112,3,3,4,8.62,1,0.76
1790,302,110,3,4,4.5,8.5,0,0.65
1791,307,105,2,2.5,4.5,8.12,1,0.67
1792,297,99,4,3,3.5,7.81,0,0.54
1793,298,101,4,2.5,4.5,7.69,1,0.53
1794,300,95,2,3,1.5,8.22,1,0.62
1795,301,99,3,2.5,2,8.45,1,0.68
1796,332,108,5,4.5,4,9.02,1,0.87
1797,337,117,5,5,5,9.87,1,0.96
1798,330,120,5,4.5,5,9.56,1,0.93
1799,312,103,4,4,5,8.43,0,0.73
1800,327,113,4,4.5,4.5,9.04,0,0.84
1801,337,118,4,4.5,4.5,9.65,1,0.92
1802,324,107,4,4,4.5,8.87,1,0.76
1803,316,104,3,3,3.5,8,1,0.72
1804,322,110,3,3.5,2.5,8.67,1,0.8
1805,314,103,2,2,3,8.21,0,0.65
1806,330,115,5,4.5,3,9.34,1,0.9
1807,321,109,3,3,4,8.2,1,0.75
1808,308,101,2,3,4,7.9,0,0.68
1809,302,102,1,2,1.5,8,0,0.5
1810,323,108,3,3.5,3,8.6,0,0.45
1811,325,106,3,3.5,4,8.4,1,0.52
1812,327,111,4,4,4.5,9,1,0.84
1813,328,112,4,4,4.5,9.1,1,0.78
1814,307,109,3,4,3,8,1,0.62
1815,311,104,3,3.5,2,8.2,1,0.61
1816,314,105,3,3.5,2.5,8.3,0,0.54
1817,317,107,3,4,3,8.7,0,0.66
1818,319,106,3,4,3,8,1,0.65
1819,318,110,3,4,3,8.8,0,0.63
1820,303,102,3,3.5,3,8.5,0,0.62
1821,312,107,3,3,2,7.9,1,0.64
1822,325,114,4,3,2,8.4,0,0.7
1823,328,116,5,5,5,9.5,1,0.94
1824,334,119,5,5,4.5,9.7,1,0.95
1825,336,119,5,4,3.5,9.8,1,0.97
1826,340,120,5,4.5,4.5,9.6,1,0.94
1827,322,109,5,4.5,3.5,8.8,0,0.76
1828,298,98,2,1.5,2.5,7.5,1,0.44
1829,295,93,1,2,2,7.2,0,0.46
1830,310,99,2,1.5,2,7.3,0,0.54
1831,300,97,2,3,3,8.1,1,0.65
1832,327,103,3,4,4,8.3,1,0.74
1833,338,118,4,3,4.5,9.4,1,0.91
1834,340,114,5,4,4,9.6,1,0.9
1835,331,112,5,4,5,9.8,1,0.94
1836,320,110,5,5,5,9.2,1,0.88
1837,299,106,2,4,4,8.4,0,0.64
1838,300,105,1,1,2,7.8,0,0.58
1839,304,105,1,3,1.5,7.5,0,0.52
1840,307,108,2,4,3.5,7.7,0,0.48
1841,308,110,3,3.5,3,8,1,0.46
1842,316,105,2,2.5,2.5,8.2,1,0.49
1843,313,107,2,2.5,2,8.5,1,0.53
1844,332,117,4,4.5,4,9.1,0,0.87
1845,326,113,5,4.5,4,9.4,1,0.91
1846,322,110,5,5,4,9.1,1,0.88
1847,329,114,5,4,5,9.3,1,0.86
1848,339,119,5,4.5,4,9.7,0,0.89
1849,321,110,3,3.5,5,8.85,1,0.82
1850,327,111,4,3,4,8.4,1,0.78
1851,313,98,3,2.5,4.5,8.3,1,0.76
1852,312,100,2,1.5,3.5,7.9,1,0.56
1853,334,116,4,4,3,8,1,0.78
1854,324,112,4,4,2.5,8.1,1,0.72
1855,322,110,3,3,3.5,8,0,0.7
1856,320,103,3,3,3,7.7,0,0.64
1857,316,102,3,2,3,7.4,0,0.64
1858,298,99,2,4,2,7.6,0,0.46
1859,300,99,1,3,2,6.8,1,0.36
1860,311,104,2,2,2,8.3,0,0.42
1861,309,100,2,3,3,8.1,0,0.48
1862,307,101,3,4,3,8.2,0,0.47
1863,304,105,2,3,3,8.2,1,0.54
1864,315,107,2,4,3,8.5,1,0.56
1865,325,111,3,3,3.5,8.7,0,0.52
1866,325,112,4,3.5,3.5,8.92,0,0.55
1867,327,114,3,3,3,9.02,0,0.61
1868,316,107,2,3.5,3.5,8.64,1,0.57
1869,318,109,3,3.5,4,9.22,1,0.68
1870,328,115,4,4.5,4,9.16,1,0.78
1871,332,118,5,5,5,9.64,1,0.94
1872,336,112,5,5,5,9.76,1,0.96
1873,321,111,5,5,5,9.45,1,0.93
1874,314,108,4,4.5,4,9.04,1,0.84
1875,314,106,3,3,5,8.9,0,0.74
1876,329,114,2,2,4,8.56,1,0.72
1877,327,112,3,3,3,8.72,1,0.74
1878,301,99,2,3,2,8.22,0,0.64
1879,296,95,2,3,2,7.54,1,0.44
1880,294,93,1,1.5,2,7.36,0,0.46
1881,312,105,3,2,3,8.02,1,0.5
1882,340,120,4,5,5,9.5,1,0.96
1883,320,110,5,5,4.5,9.22,1,0.92
1884,322,115,5,4,4.5,9.36,1,0.92
1885,340,115,5,4.5,4.5,9.45,1,0.94
1886,319,103,4,4.5,3.5,8.66,0,0.76
1887,315,106,3,4.5,3.5,8.42,0,0.72
1888,317,107,2,3.5,3,8.28,0,0.66
1889,314,108,3,4.5,3.5,8.14,0,0.64
1890,316,109,4,4.5,3.5,8.76,1,0.74
1891,318,106,2,4,4,7.92,1,0.64
1892,299,97,3,5,3.5,7.66,0,0.38
1893,298,98,2,4,3,8.03,0,0.34
1894,301,97,2,3,3,7.88,1,0.44
1895,303,99,3,2,2.5,7.66,0,0.36
1896,304,100,4,1.5,2.5,7.84,0,0.42
1897,306,100,2,3,3,8,0,0.48
1898,331,120,3,4,4,8.96,1,0.86
1899,332,119,4,5,4.5,9.24,1,0.9
1900,323,113,3,4,4,8.88,1,0.79
1901,322,107,3,3.5,3.5,8.46,1,0.71
1902,312,105,2,2.5,3,8.12,0,0.64
1903,314,106,2,4,3.5,8.25,0,0.62
1904,317,104,2,4.5,4,8.47,0,0.57
1905,326,112,3,3.5,3,9.05,1,0.74
1906,316,110,3,4,4.5,8.78,1,0.69
1907,329,111,4,4.5,4.5,9.18,1,0.87
1908,338,117,4,3.5,4.5,9.46,1,0.91
1909,331,116,5,5,5,9.38,1,0.93
1910,304,103,5,5,4,8.64,0,0.68
1911,305,108,5,3,3,8.48,0,0.61
1912,321,109,4,4,4,8.68,1,0.69
1913,301,107,3,3.5,3.5,8.34,1,0.62
1914,320,110,2,4,3.5,8.56,0,0.72
1915,311,105,3,3.5,3,8.45,1,0.59
1916,310,106,4,4.5,4.5,9.04,1,0.66
1917,299,102,3,4,3.5,8.62,0,0.56
1918,290,104,4,2,2.5,7.46,0,0.45
1919,296,99,2,3,3.5,7.28,0,0.47
1920,327,104,5,3,3.5,8.84,1,0.71
1921,335,117,5,5,5,9.56,1,0.94
1922,334,119,5,4.5,4.5,9.48,1,0.94
1923,310,106,4,1.5,2.5,8.36,0,0.57
1924,308,108,3,3.5,3.5,8.22,0,0.61
1925,301,106,4,2.5,3,8.47,0,0.57
1926,300,100,3,2,3,8.66,1,0.64
1927,323,113,3,4,3,9.32,1,0.85
1928,319,112,3,2.5,2,8.71,1,0.78
1929,326,112,3,3.5,3,9.1,1,0.84
1930,333,118,5,5,5,9.35,1,0.92
1931,339,114,5,4,4.5,9.76,1,0.96
1932,303,105,5,5,4.5,8.65,0,0.77
1933,309,105,5,3.5,3.5,8.56,0,0.71
1934,323,112,5,4,4.5,8.78,0,0.79
1935,333,113,5,4,4,9.28,1,0.89
1936,314,109,4,3.5,4,8.77,1,0.82
1937,312,103,3,5,4,8.45,0,0.76
1938,316,100,2,1.5,3,8.16,1,0.71
1939,326,116,2,4.5,3,9.08,1,0.8
1940,318,109,1,3.5,3.5,9.12,0,0.78
1941,329,110,2,4,3,9.15,1,0.84
1942,332,118,2,4.5,3.5,9.36,1,0.9
1943,331,115,5,4,3.5,9.44,1,0.92
1944,340,120,4,4.5,4,9.92,1,0.97
1945,325,112,2,3,3.5,8.96,1,0.8
1946,320,113,2,2,2.5,8.64,1,0.81
1947,315,105,3,2,2.5,8.48,0,0.75
1948,326,114,3,3,3,9.11,1,0.83
1949,339,116,4,4,3.5,9.8,1,0.96
1950,311,106,2,3.5,3,8.26,1,0.79
1951,334,114,4,4,4,9.43,1,0.93
1952,332,116,5,5,5,9.28,1,0.94
1953,321,112,5,5,5,9.06,1,0.86
1954,324,105,3,3,4,8.75,0,0.79
1955,326,108,3,3,3.5,8.89,0,0.8
1956,312,109,3,3,3,8.69,0,0.77
1957,315,105,3,2,2.5,8.34,0,0.7
1958,309,104,2,2,2.5,8.26,0,0.65
1959,306,106,2,2,2.5,8.14,0,0.61
1960,297,100,1,1.5,2,7.9,0,0.52
1961,315,103,1,1.5,2,7.86,0,0.57
1962,298,99,1,1.5,3,7.46,0,0.53
1963,318,109,3,3,3,8.5,0,0.67
1964,317,105,3,3.5,3,8.56,0,0.68
1965,329,111,4,4.5,4,9.01,1,0.81
1966,322,110,5,4.5,4,8.97,0,0.78
1967,302,102,3,3.5,5,8.33,0,0.65
1968,313,102,3,2,3,8.27,0,0.64
1969,293,97,2,2,4,7.8,1,0.64
1970,311,99,2,2.5,3,7.98,0,0.65
1971,312,101,2,2.5,3.5,8.04,1,0.68
1972,334,117,5,4,4.5,9.07,1,0.89
1973,322,110,4,4,5,9.13,1,0.86
1974,323,113,4,4,4.5,9.23,1,0.89
1975,321,111,4,4,4,8.97,1,0.87
1976,320,111,4,4.5,3.5,8.87,1,0.85
1977,329,119,4,4.5,4.5,9.16,1,0.9
1978,319,110,3,3.5,3.5,9.04,0,0.82
1979,309,108,3,2.5,3,8.12,0,0.72
1980,307,102,3,3,3,8.27,0,0.73
1981,300,104,3,3.5,3,8.16,0,0.71
1982,305,107,2,2.5,2.5,8.42,0,0.71
1983,299,100,2,3,3.5,7.88,0,0.68
1984,314,110,3,4,4,8.8,0,0.75
1985,316,106,2,2.5,4,8.32,0,0.72
1986,327,113,4,4.5,4.5,9.11,1,0.89
1987,317,107,3,3.5,3,8.68,1,0.84
1988,335,118,5,4.5,3.5,9.44,1,0.93
1989,331,115,5,4.5,3.5,9.36,1,0.93
1990,324,112,5,5,5,9.08,1,0.88
1991,324,111,5,4.5,4,9.16,1,0.9
1992,323,110,5,4,5,8.98,1,0.87
1993,322,114,5,4.5,4,8.94,1,0.86
1994,336,118,5,4.5,5,9.53,1,0.94
1995,316,109,3,3.5,3,8.76,0,0.77
1996,307,107,2,3,3.5,8.52,1,0.78
1997,306,105,2,3,2.5,8.26,0,0.73
1998,310,106,2,3.5,2.5,8.33,0,0.73
1999,311,104,3,4.5,4.5,8.43,0,0.7
2000,313,107,3,4,4.5,8.69,0,0.72
2001,317,103,3,2.5,3,8.54,1,0.73
2002,315,110,2,3.5,3,8.46,1,0.72
2003,340,120,5,4.5,4.5,9.91,1,0.97
2004,334,120,5,4,5,9.87,1,0.97
2005,298,105,3,3.5,4,8.54,0,0.69
2006,295,99,2,2.5,3,7.65,0,0.57
2007,315,99,2,3.5,3,7.89,0,0.63
2008,310,102,3,3.5,4,8.02,1,0.66
2009,305,106,2,3,3,8.16,0,0.64
2010,301,104,3,3.5,4,8.12,1,0.68
2011,325,108,4,4.5,4,9.06,1,0.79
2012,328,110,4,5,4,9.14,1,0.82
2013,338,120,4,5,5,9.66,1,0.95
2014,333,119,5,5,4.5,9.78,1,0.96
2015,331,117,4,4.5,5,9.42,1,0.94
2016,330,116,5,5,4.5,9.36,1,0.93
2017,322,112,4,4.5,4.5,9.26,1,0.91
2018,321,109,4,4,4,9.13,1,0.85
2019,324,110,4,3,3.5,8.97,1,0.84
2020,312,104,3,3.5,3.5,8.42,0,0.74
2021,313,103,3,4,4,8.75,0,0.76
2022,316,110,3,3.5,4,8.56,0,0.75
2023,324,113,4,4.5,4,8.79,0,0.76
2024,308,109,2,3,4,8.45,0,0.71
2025,305,105,2,3,2,8.23,0,0.67
2026,296,99,2,2.5,2.5,8.03,0,0.61
2027,306,110,2,3.5,4,8.45,0,0.63
2028,312,110,2,3.5,3,8.53,0,0.64
2029,318,112,3,4,3.5,8.67,0,0.71
2030,324,111,4,3,3,9.01,1,0.82
2031,313,104,3,4,4.5,8.65,0,0.73
2032,319,106,3,3.5,2.5,8.33,1,0.74
2033,312,107,2,2.5,3.5,8.27,0,0.69
2034,304,100,2,2.5,3.5,8.07,0,0.64
2035,330,113,5,5,4,9.31,1,0.91
2036,326,111,5,4.5,4,9.23,1,0.88
2037,325,112,4,4,4.5,9.17,1,0.85
2038,329,114,5,4.5,5,9.19,1,0.86
2039,310,104,3,2,3.5,8.37,0,0.7
2040,299,100,1,1.5,2,7.89,0,0.59
2041,296,101,1,2.5,3,7.68,0,0.6
2042,317,103,2,2.5,2,8.15,0,0.65
2043,324,115,3,3.5,3,8.76,1,0.7
2044,325,114,3,3.5,3,9.04,1,0.76
2045,314,107,2,2.5,4,8.56,0,0.63
2046,328,110,4,4,2.5,9.02,1,0.81
2047,316,105,3,3,3.5,8.73,0,0.72
2048,311,104,2,2.5,3.5,8.48,0,0.71
2049,324,110,3,3.5,4,8.87,1,0.8
2050,321,111,3,3.5,4,8.83,1,0.77
2051,320,104,3,3,2.5,8.57,1,0.74
2052,316,99,2,2.5,3,9,0,0.7
2053,318,100,2,2.5,3.5,8.54,1,0.71
2054,335,115,4,4.5,4.5,9.68,1,0.93
2055,321,114,4,4,5,9.12,0,0.85
2056,307,110,4,4,4.5,8.37,0,0.79
2057,309,99,3,4,4,8.56,0,0.76
2058,324,100,3,4,5,8.64,1,0.78
2059,326,102,4,5,5,8.76,1,0.77
2060,331,119,4,5,4.5,9.34,1,0.9
2061,327,108,5,5,3.5,9.13,1,0.87
2062,312,104,3,3.5,4,8.09,0,0.71
2063,308,103,2,2.5,4,8.36,1,0.7
2064,324,111,3,2.5,1.5,8.79,1,0.7
2065,325,110,2,3,2.5,8.76,1,0.75
2066,313,102,3,2.5,2.5,8.68,0,0.71
2067,312,105,2,2,2.5,8.45,0,0.72
2068,314,107,3,3,3.5,8.17,1,0.73
2069,327,113,4,4.5,5,9.14,0,0.83
2070,308,108,4,4.5,5,8.34,0,0.77
2071,306,105,2,2.5,3,8.22,1,0.72
2072,299,96,2,1.5,2,7.86,0,0.54
2073,294,95,1,1.5,1.5,7.64,0,0.49
